All Features,376
Buffer,27619037
RMS,795738
Energy,692477
MFCC,407
Complex Spectrum,17703436
Spectral Slope,933393
Spectral Centroid,294913
Spectral Rolloff,721476
Spectral Flatness,36580
Spectral Spread,139418
Spectral Skewness,92315
Spectral Kurtosis,66600
Amplitude Spectrum,16291882
ZCR,184781
Power Spectrum,45526
Loudness,16232
Perceptual Spread,16801
Perceptual Sharpness,16223
