All Features, 781
RMS, 1509142
Energy ,1337158
MFCC, 964
Complex Spectrum, 17714522
Spectral Slope, 1754603
Spectral Centroid, 531186
Spectral Rolloff, 1576801
Spectral Flatness, 73743
Spectral Spread, 248908
Spectral Skewness, 167455
Spectral Kurtosis, 122645
Amplitude Spectrum, 16318618
ZCR, 215490
Power Spectrum, 88264
Loudness, 35067
Perceptual Spread, 34919
Perceptual Sharpness, 34073
